Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth
Saeed Hajjarian,https://en.wikipedia.org/wiki/Saeed_Hajjarian,Q349095,https://www.wikidata.org/wiki/Q349095,male,journalist; writer,Iran,Tehran,1954-01-01T00:00:00Z
Kazem Vaziri Hamaneh,https://en.wikipedia.org/wiki/Kazem_Vaziri_Hamaneh,Q6381007,https://www.wikidata.org/wiki/Q6381007,male,politician,Iran,Yazd,1945-01-01T00:00:00Z
Mojtaba Samareh Hashemi,https://en.wikipedia.org/wiki/Mojtaba_Samareh_Hashemi,Q6895168,https://www.wikidata.org/wiki/Q6895168,male,politician,Iran,Kerman,
Ali Akbar Javanfekr,https://en.wikipedia.org/wiki/Ali_Akbar_Javanfekr,Q4724597,https://www.wikidata.org/wiki/Q4724597,male,politician,Iran,Tehran,1959-06-12T00:00:00Z
Sousan Keshavarz,https://en.wikipedia.org/wiki/Sousan_Keshavarz,Q7565241,https://www.wikidata.org/wiki/Q7565241,female,politician,Iran,,1965-01-01T00:00:00Z
Esfandiar Rahim Mashaei,https://en.wikipedia.org/wiki/Esfandiar_Rahim_Mashaei,Q1353303,https://www.wikidata.org/wiki/Q1353303,male,engineer; intelligence officer; politician,Iran,Ramsar,1960-11-16T00:00:00Z
Ahmad Masjed-Jamei,https://en.wikipedia.org/wiki/Ahmad_Masjed-Jamei,Q4695407,https://www.wikidata.org/wiki/Q4695407,male,politician,Iran,Tehran,1956-06-06T00:00:00Z
Rasoul Montajabnia,https://en.wikipedia.org/wiki/Rasoul_Montajabnia,Q5897953,https://www.wikidata.org/wiki/Q5897953,male,politician,Iran,Shiraz,1948-07-13T00:00:00Z
Mir-Hossein Mousavi,https://en.wikipedia.org/wiki/Mir-Hossein_Mousavi,Q217154,https://www.wikidata.org/wiki/Q217154,male,architect; essayist; journalist; painter; politician; writer,Iran,Khamaneh,1941-09-29T00:00:00Z
Mohammad-Ali Najafi,https://en.wikipedia.org/wiki/Mohammad-Ali_Najafi,Q6891619,https://www.wikidata.org/wiki/Q6891619,male,mathematician; politician,Iran,Tehran,1952-01-13T00:00:00Z
Hassan Namazi,https://en.wikipedia.org/wiki/Hassan_Namazi,Q17992061,https://www.wikidata.org/wiki/Q17992061,male,politician,Iran,Qom,1975-01-01T00:00:00Z
Masoud Nili,https://en.wikipedia.org/wiki/Masoud_Nili,Q15127464,https://www.wikidata.org/wiki/Q15127464,male,economist,Iran,Hamadan,1955-02-14T00:00:00Z
Ali Rabii,https://en.wikipedia.org/wiki/Ali_Rabii,Q5960495,https://www.wikidata.org/wiki/Q5960495,male,politician; sociologist,Iran,Tehran,1955-12-06T00:00:00Z
Mojtaba Rahmandoust,https://en.wikipedia.org/wiki/Mojtaba_Rahmandoust,Q5957373,https://www.wikidata.org/wiki/Q5957373,male,poet,Iran,Hamadan,1954-01-01T00:00:00Z
Zahra Rahnavard,https://en.wikipedia.org/wiki/Zahra_Rahnavard,Q144195,https://www.wikidata.org/wiki/Q144195,female,essayist; journalist; politician; sculptor; university teacher,Iran,Borujerd,1945-10-31T00:00:00Z
Mohammad-Ali Ramin,https://en.wikipedia.org/wiki/Mohammad-Ali_Ramin,Q835556,https://www.wikidata.org/wiki/Q835556,male,politician; university teacher,Iran,Dezful,1954-01-01T00:00:00Z
Mansour Razavi,https://en.wikipedia.org/wiki/Mansour_Razavi,Q25424438,https://www.wikidata.org/wiki/Q25424438,male,politician,,Isfahan,1952-01-01T00:00:00Z
Mohammad Rouyanian,https://en.wikipedia.org/wiki/Mohammad_Rouyanian,Q3661230,https://www.wikidata.org/wiki/Q3661230,male,military personnel,Iran,Nur,1960-05-12T00:00:00Z
Zahra Shojaei,https://en.wikipedia.org/wiki/Zahra_Shojaei,Q8064741,https://www.wikidata.org/wiki/Q8064741,female,politician,Iran,Tehran,1956-01-01T00:00:00Z
Nasrin Soltankhah,https://en.wikipedia.org/wiki/Nasrin_Soltankhah,Q3878132,https://www.wikidata.org/wiki/Q3878132,female,mathematician,Iran,Tehran,1963-04-10T00:00:00Z
Mostafa Tajzadeh,https://en.wikipedia.org/wiki/Mostafa_Tajzadeh,Q3893866,https://www.wikidata.org/wiki/Q3893866,male,activist; political pundit; politician,Iran; Pahlavi dynasty,Tehran,1957-08-31T00:00:00Z
Akbar Torkan,https://en.wikipedia.org/wiki/Akbar_Torkan,Q4700439,https://www.wikidata.org/wiki/Q4700439,male,engineer; politician,Iran,Tehran,1952-01-01T00:00:00Z
Ali-Asghar Zarei,https://en.wikipedia.org/wiki/Ali-Asghar_Zarei,Q29018353,https://www.wikidata.org/wiki/Q29018353,male,politician,Iran,Tehran,1956-01-01T00:00:00Z
Aide to the president of Iran,https://en.wikipedia.org/wiki/Aide_to_the_president_of_Iran,Q27987217,https://www.wikidata.org/wiki/Q27987217,,,,,
Elham Aminzadeh,https://en.wikipedia.org/wiki/Elham_Aminzadeh,Q14565990,https://www.wikidata.org/wiki/Q14565990,female,politician,Iran,Shiraz,1964-01-01T00:00:00Z
Gholam-Hossein Esmaeili,https://en.wikipedia.org/wiki/Gholam-Hossein_Esmaeili,Q25423694,https://www.wikidata.org/wiki/Q25423694,male,,,,1965-01-01T00:00:00Z
Hossein Fereydoun,https://en.wikipedia.org/wiki/Hossein_Fereydoun,Q16051127,https://www.wikidata.org/wiki/Q16051127,male,diplomat; politician,Iran,Sorkheh,1963-01-01T00:00:00Z
Ali Akbar Mehrabian,https://en.wikipedia.org/wiki/Ali_Akbar_Mehrabian,Q4116674,https://www.wikidata.org/wiki/Q4116674,male,politician,Iran,Isfahan Province,1975-02-02T00:00:00Z
Shahindokht Molaverdi,https://en.wikipedia.org/wiki/Shahindokht_Molaverdi,Q15062987,https://www.wikidata.org/wiki/Q15062987,female,lawyer; politician; writer,Iran,Khoy,1965-10-23T00:00:00Z
Ali Younesi,https://en.wikipedia.org/wiki/Ali_Younesi,Q446553,https://www.wikidata.org/wiki/Q446553,male,politician,Iran,Tehran,1951-01-01T00:00:00Z
Ahmad Alamolhoda,https://en.wikipedia.org/wiki/Ahmad_Alamolhoda,Q4695247,https://www.wikidata.org/wiki/Q4695247,male,Islamic jurist; politician,Iran; Pahlavi Iran,Mashhad,1944-09-01T00:00:00Z
Jamileh Alamolhoda,https://en.wikipedia.org/wiki/Jamileh_Alamolhoda,Q107312007,https://www.wikidata.org/wiki/Q107312007,female,lecturer; writer,Iran,Mashhad,1965-01-01T00:00:00Z
Ebrahim Raisi 2017 presidential campaign,https://en.wikipedia.org/wiki/Ebrahim_Raisi_2017_presidential_campaign,Q29520041,https://www.wikidata.org/wiki/Q29520041,,,,,
Template:Raisi cabinet,https://en.wikipedia.org/wiki/Template%3ARaisi_cabinet,,,,,,,
Ruhollah Dehghani Firouzabadi,https://en.wikipedia.org/wiki/Ruhollah_Dehghani_Firouzabadi,Q115216638,https://www.wikidata.org/wiki/Q115216638,male,politician; researcher,Iran,Yazd,1981-04-23T00:00:00Z
Electoral history of Hassan Rouhani,https://en.wikipedia.org/wiki/Electoral_history_of_Hassan_Rouhani,Q20987781,https://www.wikidata.org/wiki/Q20987781,,,,,
Hassan Rouhani plagiarism allegations,https://en.wikipedia.org/wiki/Hassan_Rouhani_plagiarism_allegations,Q40890602,https://www.wikidata.org/wiki/Q40890602,,,,,
Leaked Mohammad Javad Zarif audiotape,https://en.wikipedia.org/wiki/Leaked_Mohammad_Javad_Zarif_audiotape,Q106645531,https://www.wikidata.org/wiki/Q106645531,,,,,
National Security and Nuclear Diplomacy,https://en.wikipedia.org/wiki/National_Security_and_Nuclear_Diplomacy,Q6284735,https://www.wikidata.org/wiki/Q6284735,,,,,
Sahebeh Rouhani,https://en.wikipedia.org/wiki/Sahebeh_Rouhani,Q23498187,https://www.wikidata.org/wiki/Q23498187,female,housewife,Iran,Semnan,1954-01-01T00:00:00Z
World Against Violence and Extremism,https://en.wikipedia.org/wiki/World_Against_Violence_and_Extremism,Q16948034,https://www.wikidata.org/wiki/Q16948034,,,,,
Template:Hassan Rouhani,https://en.wikipedia.org/wiki/Template%3AHassan_Rouhani,,,,,,,
Look to the East policy,https://en.wikipedia.org/wiki/Look_to_the_East_policy,Q16053379,https://www.wikidata.org/wiki/Q16053379,,,,,
Mahmoud Ahmadinejad's letter to George W. Bush,https://en.wikipedia.org/wiki/Mahmoud_Ahmadinejad%27s_letter_to_George_W._Bush,,,,,,,
2007 Iranian petrol rationing riots,https://en.wikipedia.org/wiki/2007_Iranian_petrol_rationing_riots,Q4608678,https://www.wikidata.org/wiki/Q4608678,,,,,
Durban Review Conference,https://en.wikipedia.org/wiki/Durban_Review_Conference,Q2378937,https://www.wikidata.org/wiki/Q2378937,,,,,
